card_id,firstTimeIn,lastTimeOut,id,name
551088670,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088670,2022-07-08T12:23:02+00:00,,316004807,Prospecção
551088669,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088669,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004807,Prospecção
551088669,2022-07-08T12:23:02+00:00,,316004813,Apresentação
551088674,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088674,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004807,Prospecção
551088674,2022-07-08T12:23:02+00:00,,316004813,Apresentação
551088667,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088667,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004807,Prospecção
551088667,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004813,Apresentação
551088667,2022-07-08T12:23:02+00:00,,316004809,Proposta
551088666,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088666,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004807,Prospecção
551088666,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004813,Apresentação
551088666,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004809,Proposta
551088666,2022-07-08T12:23:02+00:00,,316004810,Negociação
551088671,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088671,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004807,Prospecção
551088671,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004813,Apresentação
551088671,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004809,Proposta
551088671,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004810,Negociação
551088671,2022-07-08T12:23:02+00:00,,316004808,Follow up
551088672,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088672,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004807,Prospecção
551088672,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004813,Apresentação
551088672,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004809,Proposta
551088672,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004810,Negociação
551088672,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004808,Follow up
551088672,2022-07-08T12:23:02+00:00,,316004811,Ganho
551088668,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004806,Start form
551088668,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004807,Prospecção
551088668,2022-07-08T12:23:02+00:00,2022-07-08T12:23:02+00:00,316004810,Negociação
551088668,2022-07-08T12:23:02+00:00,,316004812,Perdido
